,date,dji
95,2022-05-25,849516.2784970559
96,2022-05-26,866319.1521658135
97,2022-05-27,867633.8089167377
98,2022-05-30,872842.0150922808
99,2022-05-31,886888.620921353
100,2022-06-01,902534.7346431426
101,2022-06-02,896479.2462563862
102,2022-06-03,891672.3898729502
103,2022-06-06,903494.5349129736
104,2022-06-07,894022.106614045
105,2022-06-08,894459.1225077515
106,2022-06-09,901642.8698049298
107,2022-06-10,894326.4361178722
108,2022-06-13,876986.3417937714
109,2022-06-14,853073.069864161
110,2022-06-15,829267.1677612409
111,2022-06-16,825139.1349484276
112,2022-06-17,833391.9099515855
113,2022-06-20,813243.3754992989
114,2022-06-21,812202.8488298652
115,2022-06-22,829634.284464759
116,2022-06-23,828353.8608024236
117,2022-06-24,833631.8600190431
118,2022-06-27,856004.9083349344
119,2022-06-28,854308.6986012731
120,2022-06-29,840958.8555427351
121,2022-06-30,843195.8419269884
122,2022-07-01,836296.8396224914
123,2022-07-04,845042.3057285491
124,2022-07-05,841524.8956819603
125,2022-07-06,843423.2663992418
126,2022-07-07,852849.2013871566
127,2022-07-08,851588.3091614114
128,2022-07-11,847123.3059928605
129,2022-07-12,841892.0123854784
130,2022-07-13,836225.0828228446
131,2022-07-14,832349.5256726935
132,2022-07-15,850232.5727041805
133,2022-07-18,844372.4517578824
134,2022-07-19,864873.77278358
135,2022-07-20,866172.401018607
136,2022-07-21,870576.2622987014
137,2022-07-22,866836.7883100107
138,2022-07-25,869302.8444777516
139,2022-07-26,863093.5460278472
140,2022-07-27,874942.865240518
141,2022-07-28,883965.8051250913
142,2022-07-29,892539.2035207538
143,2022-08-01,891269.3416950527
144,2022-08-02,880339.114567798
145,2022-08-03,891652.5399890242
146,2022-08-04,889324.2653685338
147,2022-08-05,891407.1232423034
148,2022-08-08,892197.0849330889
149,2022-08-10,890617.4799988535
150,2022-08-11,905158.4222420603
151,2022-08-12,905896.4770171251
152,2022-08-16,917428.6226834282
153,2022-08-17,921542.5376643586
154,2022-08-18,928052.6626973975
155,2022-08-19,923387.090781905
156,2022-08-22,923895.7573261464
157,2022-08-23,915952.7254315227
158,2022-08-24,898476.229498626
159,2022-08-25,894290.8761653847
160,2022-08-26,895911.5608059264
161,2022-08-29,904676.6114231305
162,2022-08-30,877274.6958562572
163,2022-09-01,872263.5024324069
164,2022-09-02,863890.5666345742
165,2022-09-05,856269.8565182454
166,2022-09-06,860237.0203519693
167,2022-09-07,851052.6807427466
168,2022-09-08,846347.7805812937
169,2022-09-09,858195.1360353943
170,2022-09-12,863446.2795267024
171,2022-09-13,873696.1439212118
172,2022-09-14,879936.1194644565
173,2022-09-15,845251.8440754465
174,2022-09-16,846070.3068027782
175,2022-09-19,841361.8506460766
176,2022-09-20,837573.7603641339
177,2022-09-21,842934.1312915905
178,2022-09-22,834416.4081051216
179,2022-09-23,820219.2297608142
180,2022-09-26,817308.8864852012
181,2022-09-27,804094.9142898995
182,2022-09-28,795138.3176002657
183,2022-09-29,791719.2547058555
184,2022-09-30,806631.081946053
185,2022-10-03,794181.7548783479
186,2022-10-04,780591.9617523521
187,2022-10-06,801390.5533659352
188,2022-10-07,823820.9222022544
189,2022-10-10,822667.3467286436
190,2022-10-11,813239.8195040501
191,2022-10-12,796116.0039954525
192,2022-10-13,793564.1262707376
193,2022-10-14,794550.7822658801
194,2022-10-17,793780.6704590205
195,2022-10-18,816277.3824902794
196,2022-10-19,805301.9889159098
197,2022-10-20,820274.6926717837
198,2022-10-21,829459.0322810063
199,2022-10-24,826741.8803890577
200,2022-10-25,824290.2074259795
201,2022-10-27,844642.8666204565
202,2022-10-28,855976.0888510526
203,2022-10-31,865137.0756556565
204,2022-11-01,865201.4550920259
205,2022-11-02,870477.862071967
206,2022-11-03,892992.2479303577
207,2022-11-04,889490.8133251102
208,2022-11-07,887323.6730564894
209,2022-11-09,873588.7740945215
210,2022-11-10,869607.4924289145
211,2022-11-11,880530.7137147838
212,2022-11-14,892046.5654924097
213,2022-11-15,901118.0685956791
214,2022-11-16,883539.4041425752
215,2022-11-17,916187.3149688293
216,2022-11-18,917070.1571325304
217,2022-11-21,911332.0545903653
218,2022-11-22,912859.8587579917
219,2022-11-23,911797.518446062
220,2022-11-24,911593.4998529834
221,2022-11-25,917011.2443754239
222,2022-11-28,915777.2609495462
223,2022-11-29,926587.698804018
224,2022-11-30,929195.2517379264
225,2022-12-01,933352.1571091776
226,2022-12-02,919831.0955331392
227,2022-12-05,919914.5287350954
228,2022-12-06,939948.3690719702
229,2022-12-07,934655.9866506878
230,2022-12-08,935603.4736235379
231,2022-12-09,922484.398734278
232,2022-12-12,912952.7392309073
233,2022-12-13,912995.7296212281
234,2022-12-14,917983.7825386834
235,2022-12-15,909695.129135702
236,2022-12-16,924058.8023620301
237,2022-12-19,926874.0891079335
238,2022-12-20,923007.5015577383
239,2022-12-21,902242.8245854081
240,2022-12-22,894586.2891438119
241,2022-12-23,890159.0219845426
242,2022-12-26,892664.4594727998
243,2022-12-27,906978.2426165332
244,2022-12-28,897494.6686608547
245,2022-12-29,902289.3178964219
246,2022-12-30,903311.8522913877
247,2023-01-02,893370.2449178459
248,2023-01-03,902747.7759107328
249,2023-01-04,900749.0942827027
250,2023-01-05,900453.4690060517
251,2023-01-06,904078.4611775546
