,account_value,date,daily_return,datadate
37,1023957.7172681428,2022-02-25,0.0228511098932771,2022-02-25
38,1029808.1624280548,2022-02-28,0.0057135612743079,2022-02-28
39,995067.8678113556,2022-03-02,-0.033734724470225,2022-03-02
40,975647.8878614045,2022-03-03,-0.0195162366087302,2022-03-03
41,934407.025922928,2022-03-04,-0.0422702313524969,2022-03-04
42,891318.7442914582,2022-03-07,-0.0461129683704066,2022-03-07
43,890427.4440036468,2022-03-08,-0.000999979293064,2022-03-08
44,913530.8472996064,2022-03-09,0.0259464187133309,2022-03-09
45,933799.473062546,2022-03-10,0.0221871279145673,2022-03-10
46,927049.7917270968,2022-03-11,-0.0072281914159927,2022-03-11
47,949524.9148044892,2022-03-14,0.0242437065171239,2022-03-14
48,960560.9634800263,2022-03-15,0.0116227057378577,2022-03-15
49,969690.4986362763,2022-03-16,0.0095043786946895,2022-03-16
50,999599.6171665498,2022-03-17,0.0308439843149295,2022-03-17
51,998434.5636997528,2022-03-21,-0.0011655201210454,2022-03-21
52,1005094.734781296,2022-03-22,0.0066706135020639,2022-03-22
53,993410.7904453584,2022-03-23,-0.011624719473314,2022-03-23
54,978961.4722690888,2022-03-24,-0.0145451592787629,2022-03-24
55,957368.1312046356,2022-03-25,-0.0220573962062091,2022-03-25
56,963721.8069858856,2022-03-28,0.0066366067285479,2022-03-28
57,961505.62699321,2022-03-29,-0.0022996055257969,2022-03-29
58,974123.4150181124,2022-03-30,0.0131229476673582,2022-03-30
59,972809.1495151826,2022-03-31,-0.0013491776120638,2022-03-31
60,984731.2392368624,2022-04-01,0.0122553223596029,2022-04-01
61,990344.671121628,2022-04-04,0.0057004710128987,2022-04-04
62,994729.4344883272,2022-04-05,0.0044275124555708,2022-04-05
63,992551.7216587372,2022-04-06,,2022-04-06
64,972420.9974388503,2022-04-07,-0.0202817886268381,2022-04-07
65,975811.0165199662,2022-04-08,0.0034861640071988,2022-04-08
66,975057.8514656448,2022-04-11,-0.000771834957354,2022-04-11
67,979865.4832710648,2022-04-12,0.0049306118587664,2022-04-12
68,966273.738169136,2022-04-13,-0.0138710316201318,2022-04-13
69,980418.6625542068,2022-04-18,0.0146386306760981,2022-04-18
70,961462.9568428422,2022-04-19,-0.0193342971073,2022-04-19
71,982929.7377952958,2022-04-20,0.0223272054317558,2022-04-20
72,1009538.6607231522,2022-04-21,0.0270710325516654,2022-04-21
73,1009542.9216484452,2022-04-22,4.220665793974732e-06,2022-04-22
74,1004510.4917930984,2022-04-25,-0.0049848597295193,2022-04-25
75,1020662.3345207596,2022-04-26,0.0160793170998436,2022-04-26
76,1002105.6955589677,2022-04-27,-0.0181809775223116,2022-04-27
77,1014942.8753227616,2022-04-28,0.0128102053712342,2022-04-28
78,993259.0895103836,2022-04-29,-0.021364538181996,2022-04-29
79,980434.5776771927,2022-05-02,-0.0129115474186223,2022-05-02
80,947559.7608131792,2022-05-04,-0.0335308623466742,2022-05-04
81,945605.343439522,2022-05-05,-0.0020625795379701,2022-05-05
82,930163.0135597612,2022-05-06,-0.0163306288261773,2022-05-06
83,930520.2476601028,2022-05-09,0.0003840553700094,2022-05-09
84,931636.3681816484,2022-05-10,0.0011994586086139,2022-05-10
85,920732.3654198076,2022-05-11,-0.0117041403000648,2022-05-11
86,898203.7642769242,2022-05-12,-0.0244681320967916,2022-05-12
87,891166.0347313309,2022-05-13,-0.0078353373983672,2022-05-13
88,907652.6067375564,2022-05-16,0.0185000004081123,2022-05-16
89,941200.4040321732,2022-05-17,0.0369610543126186,2022-05-17
90,942368.0100349808,2022-05-18,0.0012405498316889,2022-05-18
91,920341.96039814,2022-05-19,-0.023373087161589,2022-05-19
92,943472.436632576,2022-05-20,0.0251324803494017,2022-05-20
93,965220.8967461014,2022-05-23,0.0230515055544702,2022-05-23
94,955944.9190086748,2022-05-24,-0.0096102123034192,2022-05-24
95,947157.6288017656,2022-05-25,-0.0091922557797803,2022-05-25
96,949722.710977974,2022-05-26,0.0027081893216165,2022-05-26
97,962622.586771431,2022-05-27,0.013582781210079,2022-05-27
98,984133.8266167068,2022-05-30,0.0223464939851691,2022-05-30
99,977222.5800575638,2022-05-31,-0.0070226694502543,2022-05-31
100,972346.361406746,2022-06-01,-0.0049898751321634,2022-06-01
101,977589.1601128008,2022-06-02,0.005391904483984,2022-06-02
102,957665.5830635452,2022-06-03,-0.0203803170720064,2022-06-03
103,959775.3913902664,2022-06-06,0.002203074187935,2022-06-06
104,957891.490160408,2022-06-07,-0.0019628563586419,2022-06-07
105,963726.3648170852,2022-06-08,0.0060913733096221,2022-06-08
106,970140.748667183,2022-06-09,0.0066558144347488,2022-06-09
107,969750.1786369706,2022-06-10,-0.0004025910990225,2022-06-10
108,954701.947092476,2022-06-13,-0.0155176373008207,2022-06-13
109,955548.0035271072,2022-06-14,0.0008861995486737,2022-06-14
110,957914.9675621416,2022-06-15,0.0024770749625318,2022-06-15
111,945051.4559349442,2022-06-16,-0.0134286570967091,2022-06-16
112,944106.4100020828,2022-06-17,-0.0009999941557959,2022-06-17
113,954669.1096555254,2022-06-20,0.0111880393370269,2022-06-20
114,976213.9938413164,2022-06-21,0.0225679075272111,2022-06-21
115,964418.304357674,2022-06-22,-0.012083098130183,2022-06-22
116,974185.8790647052,2022-06-23,0.0101279441326413,2022-06-23
117,988373.4304868242,2022-06-24,0.0145634952497364,2022-06-24
118,1002229.4404660724,2022-06-27,0.0140190028908639,2022-06-27
119,1007662.2076169512,2022-06-28,0.0054206820629341,2022-06-28
120,1013852.8635007404,2022-06-29,0.0061435824793205,2022-06-29
121,1009053.4125119708,2022-06-30,-0.0047338732882772,2022-06-30
122,1018669.35657325,2022-07-01,0.0095296680453624,2022-07-01
123,1025001.4369565508,2022-07-04,0.0062160310825503,2022-07-04
124,1024829.7155515216,2022-07-05,-0.0001675328432115,2022-07-05
125,1040419.0720273516,2022-07-06,0.0152116553992001,2022-07-06
126,1045267.516882088,2022-07-07,,2022-07-07
127,1043447.8695897906,2022-07-08,-0.0017408436241519,2022-07-08
128,1026836.7658608475,2022-07-11,-0.0159194380601622,2022-07-11
129,1023741.0834237826,2022-07-12,-0.0030147756098991,2022-07-12
130,1016274.4517943424,2022-07-13,-0.0072934765931919,2022-07-13
131,1005098.8448517612,2022-07-14,-0.0109966426124846,2022-07-14
132,1009372.0816969228,2022-07-15,0.0042515588064293,2022-07-15
133,1015433.675212792,2022-07-18,0.0060053112482352,2022-07-18
134,1014246.1569138112,2022-07-19,-0.0011694690928306,2022-07-19
135,1024055.0552793508,2022-07-20,0.0096711220433769,2022-07-20
136,1032690.3261917044,2022-07-21,0.0084324283814976,2022-07-21
137,1040245.0097219016,2022-07-22,0.0073155362634769,2022-07-22
138,1036426.3262468803,2022-07-25,-0.0036709462091455,2022-07-25
139,1023644.97253666,2022-07-26,-0.0123321391849473,2022-07-26
140,1039046.3506842356,2022-07-27,0.0150456247632515,2022-07-27
141,1078268.0924031762,2022-07-28,0.0377478268347819,2022-07-28
142,1086673.41891578,2022-07-29,0.0077952102745344,2022-07-29
143,1092213.843375039,2022-08-01,0.0050985184350851,2022-08-01
144,1086937.038879922,2022-08-02,-0.0048312924498479,2022-08-02
145,1086514.1006338208,2022-08-03,-0.0003891101609132,2022-08-03
146,1089456.5795666056,2022-08-04,0.0027081829228616,2022-08-04
147,1084372.3545602427,2022-08-05,-0.0046667532251587,2022-08-05
148,1096106.2941851437,2022-08-08,0.0108209505485405,2022-08-08
149,1105023.9092971736,2022-08-10,0.0081357211060077,2022-08-10
150,1106912.72402485,2022-08-11,0.0017092976104722,2022-08-11
151,1099683.616614114,2022-08-12,-0.0065308738926137,2022-08-12
152,1112740.9332541744,2022-08-16,0.0118737029840123,2022-08-16
153,1108001.083337991,2022-08-17,-0.0042596167486369,2022-08-17
154,1126780.2448034757,2022-08-18,0.0169486851122113,2022-08-18
155,1112163.3573583462,2022-08-19,-0.0129722610176563,2022-08-19
156,1091334.1647988064,2022-08-22,-0.0187285369741133,2022-08-22
157,1098144.8767916425,2022-08-23,0.0062407209565291,2022-08-23
158,1107839.0836192565,2022-08-24,0.0088278031728714,2022-08-24
159,1101455.5234358304,2022-08-25,-0.0057621727539807,2022-08-25
160,1101200.090874795,2022-08-26,-0.0002319045622816,2022-08-26
161,1096958.8067948548,2022-08-29,-0.0038515108335772,2022-08-29
162,1116221.5468909394,2022-08-30,0.017560130769511,2022-08-30
163,1107370.0639551026,2022-09-01,-0.0079298620963653,2022-09-01
164,1104858.2001351486,2022-09-02,-0.0022683147230678,2022-09-02
165,1099995.9982023484,2022-09-05,-0.0044007474734816,2022-09-05
166,1104566.2643831803,2022-09-06,0.004154802552283,2022-09-06
167,1106528.292934877,2022-09-07,0.0017762886799663,2022-09-07
168,1108525.0373050782,2022-09-08,0.0018045127114689,2022-09-08
169,1102678.767662187,2022-09-09,-0.0052739175446173,2022-09-09
170,1102938.68448456,2022-09-12,0.0002357139993942,2022-09-12
171,1111858.2958689595,2022-09-13,0.0080871325939282,2022-09-13
172,1106044.9752601949,2022-09-14,-0.0052284725763739,2022-09-14
173,1102969.1742615758,2022-09-15,-0.0027809004763983,2022-09-15
174,1074313.4911191503,2022-09-16,-0.0259804932097128,2022-09-16
175,1082258.457493113,2022-09-19,0.0073953891854097,2022-09-19
176,1098004.216150118,2022-09-20,0.0145489818517825,2022-09-20
177,1073958.3905226004,2022-09-21,-0.0218995749504755,2022-09-21
178,1084263.9930361807,2022-09-22,0.009595904836281,2022-09-22
179,1070354.514708956,2022-09-23,-0.0128284978718836,2022-09-23
180,1050835.7709447197,2022-09-26,-0.0182357746858701,2022-09-26
181,1044786.2693913672,2022-09-27,-0.0057568477592971,2022-09-27
182,1040090.0199926246,2022-09-28,-0.0044949378990961,2022-09-28
183,1024907.3484433844,2022-09-29,-0.0145974591212285,2022-09-29
184,1022898.0447167456,2022-09-30,-0.0019604735293297,2022-09-30
185,946426.9411073785,2022-10-03,-0.0747592626697641,2022-10-03
186,971062.239514544,2022-10-04,0.0260297940994165,2022-10-04
187,986000.8568978905,2022-10-06,0.0153837898081741,2022-10-06
188,984252.6994746728,2022-10-07,-0.0017729775902201,2022-10-07
189,975836.2235225242,2022-10-10,,2022-10-10
190,980170.1762660544,2022-10-11,0.0044412706139209,2022-10-11
191,968818.1030086082,2022-10-12,-0.011581737061917,2022-10-12
192,968000.4252589744,2022-10-13,-0.0008439951184794,2022-10-13
193,965128.7074245018,2022-10-14,-0.002966649352147,2022-10-14
194,966302.0522883934,2022-10-17,0.0012157392634426,2022-10-17
195,986655.3081935449,2022-10-18,0.0210630370254838,2022-10-18
196,983888.3830379052,2022-10-19,-0.0028043483196837,2022-10-19
197,1003263.5519984764,2022-10-20,0.0196924461093315,2022-10-20
198,992979.5687984033,2022-10-21,-0.0102505300622033,2022-10-21
199,995772.4828914208,2022-10-24,0.0028126601803069,2022-10-24
200,994867.0213740868,2022-10-25,-0.0009093056224096,2022-10-25
201,1001460.1918757956,2022-10-27,0.006627187714598,2022-10-27
202,999789.4298060936,2022-10-28,-0.00166832599364,2022-10-28
203,1007783.5510371728,2022-10-31,0.0079958049092692,2022-10-31
204,1064270.859447817,2022-11-01,0.0560510323397418,2022-11-01
205,1064663.2176936667,2022-11-02,0.0003686639001401,2022-11-02
206,1067255.5770381491,2022-11-03,0.0024349102151741,2022-11-03
207,1127193.2327693503,2022-11-04,0.0561605458155958,2022-11-04
208,1160000.630138735,2022-11-07,0.029105388868226,2022-11-07
209,1167733.7606776755,2022-11-09,0.006666488222524,2022-11-09
210,1165411.4900630517,2022-11-10,-0.0019886987024133,2022-11-10
211,1170556.7649348776,2022-11-11,0.0044149855357507,2022-11-11
212,1172249.2086604636,2022-11-14,0.0014458450681629,2022-11-14
213,1182588.1895869772,2022-11-15,0.0088197806832628,2022-11-15
214,1158052.3599360983,2022-11-16,-0.0207475686523201,2022-11-16
215,1174819.8637355368,2022-11-17,0.014479054988812,2022-11-17
216,1175029.2874263327,2022-11-18,0.0001782602569639,2022-11-18
217,1170129.4206355612,2022-11-21,-0.0041699954573078,2022-11-21
218,1179063.4940608542,2022-11-22,0.0076351156271587,2022-11-22
219,1146976.0560115378,2022-11-23,-0.0272143427482458,2022-11-23
220,1153739.608867983,2022-11-24,0.0058968561906729,2022-11-24
221,1148378.8166011374,2022-11-25,-0.004646449012967,2022-11-25
222,1145509.7291835349,2022-11-28,-0.0024983806529053,2022-11-28
223,1144038.6467250388,2022-11-29,-0.0012842164680212,2022-11-29
224,1155447.545223574,2022-11-30,0.0099724764816246,2022-11-30
225,1154686.9711726706,2022-12-01,-0.0006582506095126,2022-12-01
226,1154764.534649233,2022-12-02,6.717273035805604e-05,2022-12-02
227,1157048.9160731833,2022-12-05,0.0019782227072326,2022-12-05
228,1181245.9856990378,2022-12-06,0.0209127455976321,2022-12-06
229,1174260.3466304345,2022-12-07,-0.0059137886208091,2022-12-07
230,1183273.615810732,2022-12-08,0.0076756991804769,2022-12-08
231,1175468.2895625632,2022-12-09,-0.0065963832404232,2022-12-09
232,1180807.6346553366,2022-12-12,0.0045423131701498,2022-12-12
233,1192190.2903560202,2022-12-13,0.0096397206171572,2022-12-13
234,1190885.4918025534,2022-12-14,-0.001094454940643,2022-12-14
235,1185733.287548403,2022-12-15,-0.0043263641127677,2022-12-15
236,1169274.8731502097,2022-12-16,-0.0138803680144818,2022-12-16
237,1193460.0964168112,2022-12-19,0.0206839502173195,2022-12-19
238,1215195.4894221823,2022-12-20,0.0182120818874702,2022-12-20
239,1147668.9588588278,2022-12-21,-0.0555684506329619,2022-12-21
240,1137809.905392031,2022-12-22,-0.0085905028542377,2022-12-22
241,1078674.0878108542,2022-12-23,-0.0519733720904825,2022-12-23
242,1099716.059398989,2022-12-26,0.0195072560154281,2022-12-26
243,1114977.093685488,2022-12-27,0.0138772496373649,2022-12-27
244,1121698.6160090964,2022-12-28,0.0060283949882691,2022-12-28
245,1125446.297893862,2022-12-29,0.0033410773903774,2022-12-29
246,1134565.638485293,2022-12-30,0.0081028660438942,2022-12-30
247,1131678.4425777,2023-01-02,-0.0025447588131148,2023-01-02
248,1129108.811138491,2023-01-03,-0.0022706374377476,2023-01-03
249,1127068.624218325,2023-01-04,-0.0018069001853849,2023-01-04
250,1126281.2702449362,2023-01-05,-0.0006985856552742,2023-01-05
251,1123854.1080287497,2023-01-06,-0.0021550231547921,2023-01-06
