date,ensemble,dji
2022-05-30,984133.8266167068,872842.0150922808
2022-05-31,977222.5800575638,886888.620921353
2022-06-01,972346.361406746,902534.7346431426
2022-06-02,977589.1601128008,896479.2462563862
2022-06-03,957665.5830635452,891672.3898729502
2022-06-06,959775.3913902664,903494.5349129736
2022-06-07,957891.490160408,894022.106614045
2022-06-08,963726.3648170852,894459.1225077515
2022-06-09,970140.748667183,901642.8698049298
2022-06-10,969750.1786369706,894326.4361178722
2022-06-13,954701.947092476,876986.3417937714
2022-06-14,955548.0035271072,853073.069864161
2022-06-15,957914.9675621416,829267.1677612409
2022-06-16,945051.4559349442,825139.1349484276
2022-06-17,944106.4100020828,833391.9099515855
2022-06-20,954669.1096555254,813243.3754992989
2022-06-21,976213.9938413164,812202.8488298652
2022-06-22,964418.304357674,829634.284464759
2022-06-23,974185.8790647052,828353.8608024236
2022-06-24,988373.4304868242,833631.8600190431
2022-06-27,1002229.4404660724,856004.9083349344
2022-06-28,1007662.2076169512,854308.6986012731
2022-06-29,1013852.8635007404,840958.8555427351
2022-06-30,1009053.4125119708,843195.8419269884
2022-07-01,1018669.35657325,836296.8396224914
2022-07-04,1025001.4369565508,845042.3057285491
2022-07-05,1024829.7155515216,841524.8956819603
2022-07-06,1040419.0720273516,843423.2663992418
2022-07-07,1045267.516882088,852849.2013871566
2022-07-08,1043447.8695897906,851588.3091614114
2022-07-11,1026836.7658608475,847123.3059928605
2022-07-12,1023741.0834237826,841892.0123854784
2022-07-13,1016274.4517943424,836225.0828228446
2022-07-14,1005098.8448517612,832349.5256726935
2022-07-15,1009372.0816969228,850232.5727041805
2022-07-18,1015433.675212792,844372.4517578824
2022-07-19,1014246.1569138112,864873.77278358
2022-07-20,1024055.0552793508,866172.401018607
2022-07-21,1032690.3261917044,870576.2622987014
2022-07-22,1040245.0097219016,866836.7883100107
2022-07-25,1036426.3262468803,869302.8444777516
2022-07-26,1023644.97253666,863093.5460278472
2022-07-27,1039046.3506842356,874942.865240518
2022-07-28,1078268.0924031762,883965.8051250913
2022-07-29,1086673.41891578,892539.2035207538
2022-08-01,1092213.843375039,891269.3416950527
2022-08-02,1086937.038879922,880339.114567798
2022-08-03,1086514.1006338208,891652.5399890242
2022-08-04,1089456.5795666056,889324.2653685338
2022-08-05,1084372.3545602427,891407.1232423034
2022-08-08,1096106.2941851437,892197.0849330889
2022-08-10,1105023.9092971736,890617.4799988535
2022-08-11,1106912.72402485,905158.4222420603
2022-08-12,1099683.616614114,905896.4770171251
2022-08-16,1112740.9332541744,917428.6226834282
2022-08-17,1108001.083337991,921542.5376643586
2022-08-18,1126780.2448034757,928052.6626973975
2022-08-19,1112163.3573583462,923387.090781905
2022-08-22,1091334.1647988064,923895.7573261464
2022-08-23,1098144.8767916425,915952.7254315227
2022-08-24,1107839.0836192565,898476.229498626
2022-08-25,1101455.5234358304,894290.8761653847
2022-08-26,1101200.090874795,895911.5608059264
2022-08-29,1096958.8067948548,904676.6114231305
2022-08-30,1116221.5468909394,877274.6958562572
2022-09-01,1107370.0639551026,872263.5024324069
2022-09-02,1104858.2001351486,863890.5666345742
2022-09-05,1099995.9982023484,856269.8565182454
2022-09-06,1104566.2643831803,860237.0203519693
2022-09-07,1106528.292934877,851052.6807427466
2022-09-08,1108525.0373050782,846347.7805812937
2022-09-09,1102678.767662187,858195.1360353943
2022-09-12,1102938.68448456,863446.2795267024
2022-09-13,1111858.2958689595,873696.1439212118
2022-09-14,1106044.9752601949,879936.1194644565
2022-09-15,1102969.1742615758,845251.8440754465
2022-09-16,1074313.4911191503,846070.3068027782
2022-09-19,1082258.457493113,841361.8506460766
2022-09-20,1098004.216150118,837573.7603641339
2022-09-21,1073958.3905226004,842934.1312915905
2022-09-22,1084263.9930361807,834416.4081051216
2022-09-23,1070354.514708956,820219.2297608142
2022-09-26,1050835.7709447197,817308.8864852012
2022-09-27,1044786.2693913672,804094.9142898995
2022-09-28,1040090.0199926246,795138.3176002657
2022-09-29,1024907.3484433844,791719.2547058555
2022-09-30,1022898.0447167456,806631.081946053
2022-10-03,946426.9411073785,794181.7548783479
2022-10-04,971062.239514544,780591.9617523521
2022-10-06,986000.8568978905,801390.5533659352
2022-10-07,984252.6994746728,823820.9222022544
2022-10-10,975836.2235225242,822667.3467286436
2022-10-11,980170.1762660544,813239.8195040501
2022-10-12,968818.1030086082,796116.0039954525
2022-10-13,968000.4252589744,793564.1262707376
2022-10-14,965128.7074245018,794550.7822658801
2022-10-17,966302.0522883934,793780.6704590205
2022-10-18,986655.3081935449,816277.3824902794
2022-10-19,983888.3830379052,805301.9889159098
2022-10-20,1003263.5519984764,820274.6926717837
2022-10-21,992979.5687984033,829459.0322810063
2022-10-24,995772.4828914208,826741.8803890577
2022-10-25,994867.0213740868,824290.2074259795
2022-10-27,1001460.1918757956,844642.8666204565
2022-10-28,999789.4298060936,855976.0888510526
2022-10-31,1007783.5510371728,865137.0756556565
2022-11-01,1064270.859447817,865201.4550920259
2022-11-02,1064663.2176936667,870477.862071967
2022-11-03,1067255.5770381491,892992.2479303577
2022-11-04,1127193.2327693503,889490.8133251102
2022-11-07,1160000.630138735,887323.6730564894
2022-11-09,1167733.7606776755,873588.7740945215
2022-11-10,1165411.4900630517,869607.4924289145
2022-11-11,1170556.7649348776,880530.7137147838
2022-11-14,1172249.2086604636,892046.5654924097
2022-11-15,1182588.1895869772,901118.0685956791
2022-11-16,1158052.3599360983,883539.4041425752
2022-11-17,1174819.8637355368,916187.3149688293
2022-11-18,1175029.2874263327,917070.1571325304
2022-11-21,1170129.4206355612,911332.0545903653
2022-11-22,1179063.4940608542,912859.8587579917
2022-11-23,1146976.0560115378,911797.518446062
2022-11-24,1153739.608867983,911593.4998529834
2022-11-25,1148378.8166011374,917011.2443754239
2022-11-28,1145509.7291835349,915777.2609495462
2022-11-29,1144038.6467250388,926587.698804018
2022-11-30,1155447.545223574,929195.2517379264
2022-12-01,1154686.9711726706,933352.1571091776
2022-12-02,1154764.534649233,919831.0955331392
2022-12-05,1157048.9160731833,919914.5287350954
2022-12-06,1181245.9856990378,939948.3690719702
2022-12-07,1174260.3466304345,934655.9866506878
2022-12-08,1183273.615810732,935603.4736235379
2022-12-09,1175468.2895625632,922484.398734278
2022-12-12,1180807.6346553366,912952.7392309073
2022-12-13,1192190.2903560202,912995.7296212281
2022-12-14,1190885.4918025534,917983.7825386834
2022-12-15,1185733.287548403,909695.129135702
2022-12-16,1169274.8731502097,924058.8023620301
2022-12-19,1193460.0964168112,926874.0891079335
2022-12-20,1215195.4894221823,923007.5015577383
2022-12-21,1147668.9588588278,902242.8245854081
2022-12-22,1137809.905392031,894586.2891438119
2022-12-23,1078674.0878108542,890159.0219845426
2022-12-26,1099716.059398989,892664.4594727998
2022-12-27,1114977.093685488,906978.2426165332
2022-12-28,1121698.6160090964,897494.6686608547
2022-12-29,1125446.297893862,902289.3178964219
2022-12-30,1134565.638485293,903311.8522913877
2023-01-02,1131678.4425777,893370.2449178459
2023-01-03,1129108.811138491,902747.7759107328
2023-01-04,1127068.624218325,900749.0942827027
2023-01-05,1126281.2702449362,900453.4690060517
2023-01-06,1123854.1080287497,904078.4611775546
