date,dji
2022-07-18,844372.4517578824
2022-07-19,864873.77278358
2022-07-20,866172.401018607
2022-07-21,870576.2622987014
2022-07-22,866836.7883100107
2022-07-25,869302.8444777516
2022-07-26,863093.5460278472
2022-07-27,874942.865240518
2022-07-28,883965.8051250913
2022-07-29,892539.2035207538
2022-08-01,891269.3416950527
2022-08-02,880339.114567798
2022-08-03,891652.5399890242
2022-08-04,889324.2653685338
2022-08-05,891407.1232423034
2022-08-08,892197.0849330889
2022-08-10,890617.4799988535
2022-08-11,905158.4222420603
2022-08-12,905896.4770171251
2022-08-16,917428.6226834282
2022-08-17,921542.5376643586
2022-08-18,928052.6626973975
2022-08-19,923387.090781905
2022-08-22,923895.7573261464
2022-08-23,915952.7254315227
2022-08-24,898476.229498626
2022-08-25,894290.8761653847
2022-08-26,895911.5608059264
2022-08-29,904676.6114231305
2022-08-30,877274.6958562572
2022-09-01,872263.5024324069
2022-09-02,863890.5666345742
2022-09-05,856269.8565182454
2022-09-06,860237.0203519693
2022-09-07,851052.6807427466
2022-09-08,846347.7805812937
2022-09-09,858195.1360353943
2022-09-12,863446.2795267024
2022-09-13,873696.1439212118
2022-09-14,879936.1194644565
2022-09-15,845251.8440754465
2022-09-16,846070.3068027782
2022-09-19,841361.8506460766
2022-09-20,837573.7603641339
2022-09-21,842934.1312915905
2022-09-22,834416.4081051216
2022-09-23,820219.2297608142
2022-09-26,817308.8864852012
2022-09-27,804094.9142898995
2022-09-28,795138.3176002657
2022-09-29,791719.2547058555
2022-09-30,806631.081946053
2022-10-03,794181.7548783479
2022-10-04,780591.9617523521
2022-10-06,801390.5533659352
2022-10-07,823820.9222022544
2022-10-10,822667.3467286436
2022-10-11,813239.8195040501
2022-10-12,796116.0039954525
2022-10-13,793564.1262707376
2022-10-14,794550.7822658801
2022-10-17,793780.6704590205
2022-10-18,816277.3824902794
2022-10-19,805301.9889159098
2022-10-20,820274.6926717837
2022-10-21,829459.0322810063
2022-10-24,826741.8803890577
2022-10-25,824290.2074259795
2022-10-27,844642.8666204565
2022-10-28,855976.0888510526
2022-10-31,865137.0756556565
2022-11-01,865201.4550920259
2022-11-02,870477.862071967
2022-11-03,892992.2479303577
2022-11-04,889490.8133251102
2022-11-07,887323.6730564894
2022-11-09,873588.7740945215
2022-11-10,869607.4924289145
2022-11-11,880530.7137147838
2022-11-14,892046.5654924097
2022-11-15,901118.0685956791
2022-11-16,883539.4041425752
2022-11-17,916187.3149688293
2022-11-18,917070.1571325304
2022-11-21,911332.0545903653
2022-11-22,912859.8587579917
2022-11-23,911797.518446062
2022-11-24,911593.4998529834
2022-11-25,917011.2443754239
2022-11-28,915777.2609495462
2022-11-29,926587.698804018
2022-11-30,929195.2517379264
2022-12-01,933352.1571091776
2022-12-02,919831.0955331392
2022-12-05,919914.5287350954
2022-12-06,939948.3690719702
2022-12-07,934655.9866506878
2022-12-08,935603.4736235379
2022-12-09,922484.398734278
2022-12-12,912952.7392309073
2022-12-13,912995.7296212281
2022-12-14,917983.7825386834
2022-12-15,909695.129135702
2022-12-16,924058.8023620301
2022-12-19,926874.0891079335
2022-12-20,923007.5015577383
2022-12-21,902242.8245854081
2022-12-22,894586.2891438119
2022-12-23,890159.0219845426
2022-12-26,892664.4594727998
2022-12-27,906978.2426165332
2022-12-28,897494.6686608547
2022-12-29,902289.3178964219
2022-12-30,903311.8522913877
2023-01-02,893370.2449178459
2023-01-03,902747.7759107328
2023-01-04,900749.0942827027
2023-01-05,900453.4690060517
2023-01-06,904078.4611775546
